peak_label,chemical_formula,mz_mean_neg,rt_expected_neg,detected_neg,mz_mean_pos,rt_expected_pos,is_standard,monoisotopic_mass,refmet_name,pubchem_cid,refmet_mass,formula,inchi_key,super_class,main_class,sub_class,refmet_regno,Smiles
Pyridoxine,C8H11NO3,168.0666,5.5,D,170.0812,5.5,True,169.0738932246,Pyridoxine,1054,169.0739,C8H11NO3,LXNHXLLTXMVWPM-UHFFFAOYSA-N,Organoheterocyclic compounds,Pyridoxines,Pyridoxines,37154,CC1=NC=C(C(=C1O)CO)CO
Rhamnose,C6H12O5,163.0612,2.26,D,,,True,164.0684734957,Rhamnose,25310,164.0685,C6H12O5,SHZGCJCMOBCMKK-JFNONXLTSA-N,Carbohydrates,Monosaccharides,Monosaccharides,37462,CC1C(C(C(C(O1)O)O)O)O
Riboflavin,C17H20N4O6,375.131,4.48,ND,377.1456,4.48,True,376.1382843954,Riboflavin,493570,376.1383,C17H20N4O6,AUNGANRZJHBGPY-SCRDCRAPSA-N,Organoheterocyclic compounds,Alloxazines and isoalloxazines,Flavins,37156,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(CO)O)O)O
Serine,C3H7NO3,104.0353,7.95,D,106.0499,7.95,True,105.0425930962,Serine,5951,105.0426,C3H7NO3,MTCFGRXMJLQNBG-REOHCLBHSA-N,Organic acids,Amino acids and peptides,Amino acids,37123,C(C(C(=O)O)N)O
Succinic acid,C4H6O4,117.0193,1.89,D,,,True,118.026608681,Succinic acid,1110,118.0266,C4H6O4,KDYFGRWQOYBRFD-UHFFFAOYSA-N,Organic acids,TCA acids,TCA acids,1966,C(CC(=O)O)C(=O)O
Taurine,C2H7NO3S,124.0074,6.76,D,126.022,6.76,True,125.0146637862,Taurine,1123,125.0147,C2H7NO3S,XOAAWQZATWQOTB-UHFFFAOYSA-N,Organic acids,Sulfonic acids,Sulfonic acids,37162,C(CS(=O)(=O)O)N
Threonine,C4H9NO3,118.051,7.79,D,120.0656,7.79,True,119.0582431604,Threonine,6288,119.0582,C4H9NO3,AYFVYJQAPQTCCC-GBXIJSLDSA-N,Organic acids,Amino acids and peptides,Amino acids,37113,CC(C(C(=O)O)N)O
Thymidine,C10H14N2O5,241.083,1.47,D,243.0976,1.47,True,242.0902715703,Thymidine,5789,242.0903,C10H14N2O5,IQFYYKKMVGJFEH-XLPZGREQSA-N,Nucleic acids,Pyrimidines,Pyrimidine deoxyribonucleosides,37175,CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)O
Thymine,C5H6N2O2,125.0357,0.84,D,127.0503,0.84,True,126.0429274472,Thymine,1135,126.0429,C5H6N2O2,RWQNBRDOKXIBIV-UHFFFAOYSA-N,Nucleic acids,Pyrimidines,Pyrimidines,37168,CC1=CNC(=O)NC1=O
Tryptophan,C11H12N2O2,203.0826,6.78,D,205.0972,6.78,True,204.0898776398,Tryptophan,6305,204.0899,C11H12N2O2,QIVBCDIJIAJPQS-VIFPVBQESA-N,Organic acids,Amino acids and peptides,Amino acids,37505,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N
Tyramine,C8H11NO,,,,138.0914,5.32,True,137.0840639804,Tyramine,5610,137.0841,C8H11NO,DZGWFCGJZKJUFP-UHFFFAOYSA-N,Benzenoids,Benzenes,Phenethylamines,37197,C1=CC(=CC=C1CCN)O
Tyrosine,C9H11NO3,180.0666,7.16,D,182.0812,7.16,True,181.0738932246,Tyrosine,6057,181.0739,C9H11NO3,OUYCCCASQSFEME-QMMMGPOBSA-N,Organic acids,Amino acids and peptides,Amino acids,37107,C1=CC(=CC=C1CC(C(=O)O)N)O
Uracil,C4H4N2O2,111.02,1.07,D,113.0346,1.07,True,112.027277383,Uracil,1174,112.0273,C4H4N2O2,ISAKRJDGNUQOIC-UHFFFAOYSA-N,Unassigned,Unassigned,Unassigned,37192,C1=CNC(=O)NC1=O
Uridine,C9H12N2O6,243.0623,3.27,D,245.0769,3.27,True,244.06953612819999,Uridine,6029,244.0695,C9H12N2O6,DRTQHJPVMGBUCF-XVFCMESISA-N,Nucleic acids,Pyrimidines,Pyrimidine ribonucleosides,37190,C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)O
Urocanic acid,C6H6N2O2,137.0356,4.21,D,139.0502,4.21,True,138.0429274472,Urocanic acid,736715,138.0429,C6H6N2O2,LOIYMIARKYCTBW-OWOJBTEDSA-N,Organoheterocyclic compounds,Imidazoles,Imidazolyl carboxylic acids,37193,C1=C(NC=N1)C=CC(=O)O
Valine,C5H11NO2,116.0717,7.15,D,118.0863,7.15,True,117.0789786025,Valine,6287,117.079,C5H11NO2,KZSNJWFQEVHDMF-BYPYZUCNSA-N,Organic acids,Amino acids and peptides,Amino acids,37484,CC(C)C(C(=O)O)N
Xanthine,C5H4N4O2,151.0262,3.65,D,153.0408,3.65,True,152.03342539340002,Xanthine,1188,152.0334,C5H4N4O2,LRFVTYWOQMYALW-UHFFFAOYSA-N,Nucleic acids,Purines,Xanthines,37186,C1=NC2=C(N1)C(=O)NC(=O)N2
Xanthosine,C10H12N4O6,283.0684,4.88,D,285.08299999999997,4.88,True,284.07568413859997,Xanthosine,64959,284.0757,C10H12N4O6,UBORTCNDUKBEOP-UUOKFMHZSA-N,Nucleic acids,Purines,Purine ribonucleosides,37191,C1=NC2=C(N1C3C(C(C(O3)CO)O)O)NC(=O)NC2=O
